国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),Pages per Scan,Aspect,TitleHiragana,TitleRomanji,NrImages,Estimate
200018462,H29.12,政治・法制,鎌倉武鑑,刊,ＭＹ－１４９０－４,文政２,1819,1,冊,2,Portrait,かまくらぶかん,kamakurabukan,69,False
200018466,H29.12,政治・法制,応仁武鑑,刊,ＭＹ－１４９０－７,天保１５,1844,2,冊,2,Portrait,おうにんぶかん,ōninbukan,78,False
200018476,H29.12,政治・法制,応仁武鑑,刊,ＭＹ－１４９０－８,弘化３,1846,3,冊,2,Portrait,おうにんぶかん,ōninbukan,100,False
200018713,H29.12,政治・法制,本朝武鑑,刊,ＭＹ－１２０１－５３,貞享３,1686,1,冊,2,Landscape,ほんちょうぶかん,honchōbukan,75,True
200018714,H29.12,政治・法制,本朝武鑑,刊,ＭＹ－１２０１－５４,貞享３,1686,1,冊,2,Landscape,ほんちょうぶかん,honchōbukan,94,False
200018718,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－５８,元禄２,1689,1,冊,2,Landscape,たいへいぶかん,taihenbukan,48,True
200018719,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－５９,元禄３,1690,1,冊,2,Landscape,たいへいぶかん,taihenbukan,51,True
200018721,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－６１,元禄４,1691,1,冊,2,Landscape,たいへいぶかん,taihenbukan,103,True
200018723,H29.12,政治・法制,太平武鑑大全,刊,ＭＹ－１２０１－６３,元禄５,1692,1,冊,2,Landscape,たいへいぶかんたいぜん,taihenbukantaizen,50,True
200018725,H29.12,政治・法制,本朝武鑑,刊,ＭＹ－１２０１－６５,元禄６,1693,1,冊,2,Landscape,ほんちょうぶかん,honchōbukan,79,True
200018728,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－６７,元禄７,1694,1,冊,2,Landscape,たいへいぶかん,taihenbukan,52,True
200018729,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－６８,元禄７,1694,1,冊,2,Landscape,たいへいぶかん,taihenbukan,52,False
200018731,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－７０,元禄９,1696,1,冊,2,Landscape,たいへいぶかん,taihenbukan,67,False
200018732,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－７１,元禄９,1696,1,冊,2,Landscape,たいへいぶかん,taihenbukan,49,True
200018733,H29.12,政治・法制,太平武鑑,刊,ＭＹ－１２０１－７２,元禄１０,1697,1,冊,2,Landscape,たいへいぶかん,taihenbukan,92,True
200018745,H29.12,政治・法制,正統武鑑,刊,ＭＹ－１２０１－８３,元禄１５,1702,1,冊,2,Portrait,せいとうぶかん,seitōbukan,86,False
200018746,H29.12,政治・法制,正統武鑑,刊,ＭＹ－１２０１－８４,元禄１６,1703,3,冊,2,Portrait,せいとうぶかん,seitōbukan,224,True
200018747,H29.12,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８５,元禄１６,1703,1,冊,2,Portrait,げんろくぶかんたいぜん,genrokubukantaizen,56,True
200018748,H29.12,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８６,元禄１６,1703,1,冊,2,Portrait,げんろくぶかんたいぜん,genrokubukantaizen,58,True
200018749,H29.12,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８７,元禄１６,1703,2,冊,2,Portrait,げんろくぶかんたいぜん,genrokubukantaizen,71,False
200018750,H29.12,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８８,元禄１６,1703,1,冊,2,Portrait,げんろくぶかんたいぜん,genrokubukantaizen,44,False
200018752,H29.12,政治・法制,宝永武鑑大成,刊,ＭＹ－１２０１－９０,宝永１,1704,1,冊,2,Portrait,ほうえいぶかんたいせい,hōeibukantaisen,173,False
200018755,H29.12,政治・法制,宝永武鑑大成,刊,ＭＹ－１２０１－９１,宝永２,1705,4,冊,2,Portrait,ほうえいぶかんたいせい,hōeibukantaisen,184,False
200018756,H29.12,政治・法制,御林武鑑,刊,ＭＹ－１２０１－９２,宝永２,1705,4,冊,2,Portrait,ごりんぶかん,gorinbukan,312,False
200018757,H29.12,政治・法制,宝永武鑑,刊,ＭＹ－１２０１－９３,宝永４,1707,1,冊,2,Portrait,ほうえいぶかん,hōeibukan,90,False
200018758,H29.12,政治・法制,正風武鑑,刊,ＭＹ－１２０１－９４,宝永５,1708,3,冊,2,Portrait,しょうふうぶかん,shōfūbukan,270,False
200018761,H29.12,政治・法制,正風武鑑,刊,ＭＹ－１２０１－９５,宝永５,1708,2,冊,2,Portrait,しょうふうぶかん,shōfūbukan,179,True
200018762,H29.12,政治・法制,賞延武鑑,刊,ＭＹ－１２０１－９６,正徳３,1713,3,冊,2,Portrait,しょうえんぶかん,shōenbukan,272,False
