国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,TitleHiragana,TitleRomanji,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),NrPages,Aspect,NrImages
200018466,H29.12,政治・法制,応仁武鑑,おうにんぶかん,ōninbukan,刊,ＭＹ－１４９０－７,天保１５,1844,2,冊,2,Portrait,78
200018476,H29.12,政治・法制,応仁武鑑,おうにんぶかん,ōninbukan,刊,ＭＹ－１４９０－８,弘化３,1846,3,冊,2,Portrait,100
200018713,H29.12,政治・法制,本朝武鑑,ほんちょうぶかん,honchōbukan,刊,ＭＹ－１２０１－５３,［貞享３］,[1686],1,冊,2,Landscape,75
200018714,H29.12,政治・法制,本朝武鑑,ほんちょうぶかん,honchōbukan,刊,ＭＹ－１２０１－５４,貞享３,1686,1,冊,2,Landscape,94
200018718,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－５８,［元禄２］,[1689],1,冊,2,Landscape,48
200018719,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－５９,［元禄３］,[1690],1,冊,2,Landscape,51
200018721,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－６１,［元禄４］,[1691],1,冊,2,Landscape,103
200018725,H29.12,政治・法制,本朝武鑑,ほんちょうぶかん,honchōbukan,刊,ＭＹ－１２０１－６５,［元禄６］,[1693],1,冊,2,Landscape,79
200018728,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－６７,［元禄７］,[1694],1,冊,2,Landscape,52
200018729,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－６８,元禄７,1694,1,冊,2,Landscape,52
200018731,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－７０,元禄９,1696,1,冊,2,Landscape,67
200018732,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－７１,［元禄９］,[1696],1,冊,2,Landscape,49
200018733,H29.12,政治・法制,太平武鑑,たいへいぶかん,taihenbukan,刊,ＭＹ－１２０１－７２,［元禄１０］,[1697],1,冊,2,Landscape,92
200018745,H29.12,政治・法制,正統武鑑,せいとうぶかん,seitōbukan,刊,ＭＹ－１２０１－８３,元禄１５,1702,1,冊,2,Portrait,86
200018746,H29.12,政治・法制,正統武鑑,せいとうぶかん,seitōbukan,刊,ＭＹ－１２０１－８４,［元禄１６］,[1703],3,冊,2,Portrait,224
200018747,H29.12,政治・法制,元禄武鑑大全,げんろくぶかんたいぜん,genrokubukantaizen,刊,ＭＹ－１２０１－８５,［元禄１６］,[1703],1,冊,2,Portrait,56
200018748,H29.12,政治・法制,元禄武鑑大全,げんろくぶかんたいぜん,genrokubukantaizen,刊,ＭＹ－１２０１－８６,［元禄１６］,[1703],1,冊,2,Portrait,58
