公開時期,国文研書誌ID,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),K?,X,Y,Width,Height,Comment
H29.12,200018713,政治・法制,本朝武鑑,刊,ＭＹ－１２０１－５３,［貞享３］,[1686],1,冊,x,,,,,a bit dark
H29.12,200018714,政治・法制,本朝武鑑,刊,ＭＹ－１２０１－５４,貞享３,1686,1,冊,x,,,,,
H29.12,200018718,政治・法制,太平武鑑,刊,ＭＹ－１２０１－５８,［元禄２］,[1689],1,冊,x,,,,,
H29.12,200018719,政治・法制,太平武鑑,刊,ＭＹ－１２０１－５９,［元禄３］,[1690],1,冊,x,,,,,
H29.12,200018721,政治・法制,太平武鑑,刊,ＭＹ－１２０１－６１,［元禄４］,[1691],1,冊,x,,,,,dirty
H29.12,200018723,政治・法制,太平武鑑大全,刊,ＭＹ－１２０１－６３,［元禄５］,[1692],1,冊,x,,,,,
H29.12,200018725,政治・法制,本朝武鑑,刊,ＭＹ－１２０１－６５,［元禄６］,[1693],1,冊,x,,,,,
H29.12,200018728,政治・法制,太平武鑑,刊,ＭＹ－１２０１－６７,［元禄７］,[1694],1,冊,x,,,,,dirty
H29.12,200018729,政治・法制,太平武鑑,刊,ＭＹ－１２０１－６８,元禄７,1694,1,冊,x,,,,,
H29.12,200018731,政治・法制,太平武鑑,刊,ＭＹ－１２０１－７０,元禄９,1696,1,冊,x,,,,,
H29.12,200018732,政治・法制,太平武鑑,刊,ＭＹ－１２０１－７１,［元禄９］,[1696],1,冊,x,,,,,
H29.12,200018733,政治・法制,太平武鑑,刊,ＭＹ－１２０１－７２,［元禄１０］,[1697],1,冊,x,,,,,
H29.12,200018745,政治・法制,正統武鑑,刊,ＭＹ－１２０１－８３,元禄１５,1702,1,冊,x,,,,,
H29.12,200018746,政治・法制,正統武鑑,刊,ＭＹ－１２０１－８４,［元禄１６］,[1703],3,冊,x,,,,,
H29.12,200018747,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８５,［元禄１６］,[1703],1,冊,x,,,,,
H29.12,200018748,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８６,［元禄１６］,[1703],1,冊,x,,,,,
H29.12,200018749,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８７,元禄１６,1703,2,冊,x,,,,,
H29.12,200018750,政治・法制,元禄武鑑大全,刊,ＭＹ－１２０１－８８,元禄１６,1703,1,冊,x,,,,,
H29.12,200018752,政治・法制,宝永武鑑大成,刊,ＭＹ－１２０１－９０,宝永１,1704,1,冊,x,,,,,
H29.12,200018755,政治・法制,宝永武鑑大成,刊,ＭＹ－１２０１－９１,宝永２,1705,4,冊,x,,,,,
H29.12,200018756,政治・法制,御林武鑑,刊,ＭＹ－１２０１－９２,宝永２,1705,4,冊,x,,,,,
H29.12,200018757,政治・法制,宝永武鑑,刊,ＭＹ－１２０１－９３,宝永４,1707,1,冊,x,,,,,
H29.12,200018758,政治・法制,正風武鑑,刊,ＭＹ－１２０１－９４,宝永５,1708,3,冊,x,,,,,
H29.12,200018761,政治・法制,正風武鑑,刊,ＭＹ－１２０１－９５,［宝永５］,[1708],2,冊,x,,,,,
H29.12,200018762,政治・法制,賞延武鑑,刊,ＭＹ－１２０１－９６,正徳３,1713,3,冊,x,,,,,
H29.12,200018763,政治・法制,正徳武鑑,刊,ＭＹ－１２０１－９７,正徳４,1714,3,冊,x,,,,,
H29.12,200018764,政治・法制,正徳武鑑,刊,ＭＹ－１２０１－９８,正徳５,1715,1,冊,x,,,,,
H29.12,200018765,政治・法制,享保武鑑,刊,ＭＹ－１２０１－９９,享保２,1717,4,冊,x,,,,,
H29.12,200018766,政治・法制,享保武鑑,刊,ＭＹ－１２０１－１００,［享保４］,[1719],1,冊,x,,,,,
H29.12,200018767,政治・法制,永世武鑑,刊,ＭＹ－１２０１－１０１,享保４,1719,3,冊,x,,,,,
H29.12,200018768,政治・法制,享保武鑑,刊,ＭＹ－１２０１－１０２,享保６,1721,4,冊,x,,,,,damaged?
H29.12,200018769,政治・法制,享保武鑑,刊,ＭＹ－１２０１－１０３,享保１１,1726,1,冊,x,,,,,
H29.12,200018770,政治・法制,享保武鑑,刊,ＭＹ－１２０１－１０４,享保１４,1729,1,冊,x,,,,,
H29.12,200018771,政治・法制,享保武鑑,刊,ＭＹ－１２０１－１０５,享保１７,1732,4,冊,x,,,,,
H29.12,200018772,政治・法制,元文武鑑,刊,ＭＹ－１２０１－１０６,元文１,1736,4,冊,x,,,,,
H29.12,200018773,政治・法制,元文武鑑,刊,ＭＹ－１２０１－１０７,元文５,1740,4,冊,x,,,,,
H29.12,200018774,政治・法制,寛保武鑑,刊,ＭＹ－１２０１－１０８,寛保１,1741,1,冊,x,,,,,
H29.12,200018775,政治・法制,延享武鑑,刊,ＭＹ－１２０１－１０９,延享４,1747,4,冊,x,,,,,
H29.12,200018776,政治・法制,寛延武鑑,刊,ＭＹ－１２０１－１１０,［寛延１］,[1748],2,冊,x,,,,,
H29.12,200019391,政治・法制,有司武鑑,刊,ＭＹ－１２０１－２２２,寛延１,1748,1,冊,x,,,,,
H29.12,200019394,政治・法制,有司武鑑,刊,ＭＹ－１２０１－２２３,宝暦２,1752,1,冊,x,,,,,
H29.12,200018777,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１１,宝暦３,1753,4,冊,x,,,,,
H29.12,200018779,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１２,宝暦６,1756,1,冊,x,,,,,
H29.12,200018780,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１３,宝暦７,1757,1,冊,x,,,,,
H29.12,200018781,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１４,宝暦８,1758,1,冊,x,,,,,damaged
H29.12,200018782,政治・法制,宝暦武鑑,刊,ＭＹ－１２０１－１１５,宝暦１１,1761,4,冊,x,,,,,
H29.12,200018783,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１１６,宝暦１１,1761,1,冊,x,,,,,
